
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader																							// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Meat & Veg																						// Category Name
		CaninaBerry,																	*,		10,			8	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,																	*,		10,			8	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		TWP_M40A5_mag_5Rnd,																M,		-1,     -1	
		TWP_Remington700,																W,		-1,     -1	
		TWP_RemingtonMSR,																W,		110000,     95000
		TWP_RemingtonMSR_mag_5Rnd,														M,		200,     200
		TWP_Sako75,																		W,		-1,     -1
		TWP_SG550S,																		W,		-1,     -1
		TWP_SL8,																		W,		-1,     -1
		TWP_SL8_mag_10Rnd,																M,		-1,     -1
		TWP_SSG69,																		W,		-1,     -1
		TWP_SSG69_mag_5Rnd,																M,		-1,     -1
		TWP_SV98NovaPriam,																W,		-1,     -1
		TWP_SV98NovaPriam_mag_5Rnd,														M,		-1,     -1
		TWP_TPG1,																		W,		-1,     -1
		TWP_TPG1_mag_5Rnd,																M,		-1,     -1
		TWP_SVDDragunov,																W,		-1,     -1
		TWP_SVDDragunovTan,																W,		-1,     -1
		TWP_SVDDragunovBrownTan,														W,		-1,     -1
		TWP_SVDDragunovGreyTan,															W,		-1,     -1
		TWP_Dragunov_mag_10Rnd,															M,		-1,     -1
		TWP_Winchester1873,																W,		8000,     65000
		TWP_WinchesterRifle,															W,		8500,     7000		
		TWP_McMillanCS5,																W,		20000,     17500		
		TWP_McMillanCS5_10Rnd,															M,		400,     350
		TWP_VSSK,																		W,		-1,     -1
		TWP_VSSK_mag_5Rnd,																M,		-1,     -1
		TWP_Marlin,																		W,		9500,     7000
		TWP_FRF2BlackDragon,															W,		135000,     120000
		TWP_FRF2BlackDragon_mag_10Rn													M,		600,     500

	<Category> Shotguns
		Mp133Shotgun,																	W,		500,		250
		Izh43Shotgun,																	W,		900,		400
		Saiga,																			W,		1500,		600
		Mag_Saiga_5Rnd,																	M,		100,		50
		Mag_Saiga_8Rnd,																	M,		220,		60
		Mag_Saiga_Drum20Rnd,															M,		480,		110
		Massarmsan,																		*,		1000,		5
		TWP_AA12,																		W,		22000,     20000
		TWP_AA12_mag_32Rnd,																M,		600,     450
		TWP_AA12Dragon,																	W,		24000,     21000
		TWP_AA12Dragon_mag_32Rnd,														M,		600,     450
		TWP_AA12HellDragon,																W,		23000,     20000
		TWP_AA12HellDragon_mag_32Rnd													M,		600,     450
		TWP_SPAS,																		W,		-1,     -1
		TWP_SawedShotgun,																W,		-1,     -1
		TWP_Remington870Tactical,														W,		2200,    2000
		TWP_Mossberg590a1,																W,		-1,     -1
		TWP_Mossberg500,																W,		-1,     -1
		TWP_KSG,																		W,		-1,     -1
		TWP_Armsan,																		W,		-1,     -1
		TWP_ClassicShotgun,																W,		-1,     -1
		TWP_BenelliM4,																	W,		-1,     -1
		TWP_BenelliM3,																	W,		-1,     -1	
		TWP_ImprovisedShotgun,															W,		-1,     -1
		TWP_IthacaM37,																	W,		-1,     -1
		TWP_DoubleBarrelShotgun,														W,		-1,     -1
		TWP_MP153,																		W,		-1,     -1
		TWP_M1912,																		W,		-1,     -1
		TWP_Komrad12,																	W,		4200,    3750
		TWP_Komrad12_mag_10Rnd,															M,		400,     350
		TWP_Toz34,																		W,		-1,     -1
		TWP_Spas15,																		W,		3500,    3000
		TWP_Spas15_mag_8Rnd,															M,		400,     350
		TWP_AA12Black,																	W,		-1,     -1
		TWP_AA12Black_mag_32Rnd,														M,		-1,     -1

	<Category> Submachine Guns
		CZ61,																			W,		200,   	150
		Mag_CZ61_20Rnd,																	M,		50,    	30
		UMP45,																			W,		450,    300
		Mag_UMP_25Rnd,																	M,		100,     75
		MP5K,																			W,		500,     350
		Mag_MP5_30Rnd,																	M,		100,     75
		AKS74U,																			W,		550,     450
		TWP_AEK919,																		W,		600,     450
		TWP_AEK919_mag_20Rnd,															M,		100,     75
		TWP_Auto9,																		W,		650,     550
		TWP_Auto9_mag_25Rnd,															M,		125,     100
		TWP_MP7,																		W,		700,     600
		TWP_MP7_mag_30Rnd,																M,		100,     75
		TWP_MP7_magCoupled_60Rnd,														M,		150,     100	
		TWP_MP7_RoundMag_60Rnd,															M,		200,     150
		TWP_MP7Eagle,																	W,		1200,     1000
		TWP_MP7Eagle_mag_30Rnd,															M,		200,     150
		TWP_P90Arctic,																	W,		775,     600
		TWP_TWP_P90Arctic_mag_50Rnd,													M,		200,     150
		TWP_P90Colored,																	W,		775,     600
		TWP_P90Colored_mag_50Rnd,														M,		200,     150
		TWP_P90Shallow_Grave,															W,		775,     600
		TWP_P90Shallow_Grave_mag_50Rn													M,		200,     150
		TWP_Uzi,																		W,		800,     650
		TWP_Uzi_mag_20Rnd,																M,		100,     75
		TWP_SRGlock,																	W,		800,     600
		TWP_SRGlock_mag_33Rnd,															M,		200,     150
		TWP_SR2,																		W,		825,     650
		TWP_SR2_mag_20Rnd,																M,		150,     100
		TWP_SR3,																		W,		900,     700
		TWP_SR3_mag_30Rnd,																M,		200,     125
//		TWP_SRFrame,																	*,		-1,     -1
		TWP_SST30,																		W,		-1,     -1
		TWP_SST30Orange,																W,		-1,     -1
		TWP_SST30Halloween,																W,		-1,     -1
		TWP_SST30_mag_35Rnd,															M,		-1,     -1
		TWP_SST30Halloween_mag_35Rnd,													M,		-1,     -1
		TWP_SST30Silenced,																W,		-1,     -1
		TWP_SST30Silenced_mag_35Rnd,													M,		-1,     -1
		TWP_Tec9,																		W,		-1,     -1
		TWP_Tec9_mag_50Rnd,																M,		-1,     -1
		TWP_M24R,																		W,		-1,     -1
		TWP_M24R_mag_40Rnd,																M,		-1,     -1
		TWP_UMP,																		W,		-1,     -1
		TWP_UMP_mag_35Rnd,																M,		-1,     -1
		TWP_UMPPrimalSaber,																W,		-1,     -1
		TWP_UMPPrimalSaber_mag_35Rnd,													M,		-1,     -1
		TWP_MPX,																		W,		-1,     -1
		TWP_MPX_mag_30Rnd,																M,		-1,     -1
		TWP_MP5Silenced,																W,		-1,     -1
		TWP_MP5Silenced_mag_30Rnd,														M,		-1,     -1
		TWP_PP19Vityaz,																	W,		-1,     -1
		TWP_PP19Vityaz_mag_30Rnd,														M,		-1,     -1
		TWP_CX4Storm,																	W,		-1,     -1
		TWP_CX4Storm_mag_30Rnd,															M,		-1,     -1
		TWP_KacPDW,																		W,		-1,     -1
		TWP_KacPDW_mag_30Rnd,															M,		-1,     -1
		
	<Category> Assault Rifles
		FAL,																			W,		1000,		450
		Mag_FAL_20Rnd,																	M,		100,		50
		AKM,																			W,		1500,		750
		Mag_AKM_30Rnd,																	M,		220,		110
		Mag_AKM_Palm30Rnd,																M,		220,		110
		Mag_AKM_Drum75Rnd,																M,		480,		220
		AK101,																			W,		1500,		750
		AK74,																			W,		1600,		750
		Mag_AK74_30Rnd,																	M,		220,		110
		M4A1,																			W,		1500,		750
		TTC_DMR_Barrel_556, 															*, 		10000, 		7500
		TTC_DMR_Barrel_762, 															*, 		11000, 		7500
		TTC_DMR_RifleFrame, 															*, 		20000, 		7500
		TTCSR25, 																		W, 		20000, 		7500
		TTCSR25_Desert, 																W, 		20000, 		7500
		TTCSR25_Snow, 																	W, 		20000, 		7500
		TTCSR25_OD, 																	W, 		20000, 		7500
		TTC_HK416Tan, 																	W, 		20000,	 	7500
		TTC_HK416OD, 																	W, 		20000, 		7500
		TTC_HK416Black, 																W, 		20000, 		7500
		TTC_SG552, 																		W, 		20000, 		7500
		TTC_SG552_Wood, 																W, 		20000, 		7500
		TTC_SG552_Black, 																W, 		20000, 		7500
		TTC_SG550, 																		W, 		20000, 		7500
		TTC_SG550_Black, 																W, 		20000, 		7500
		TTC_SG550_Pink, 																W, 		20000, 		7500
		TTC_M16, 																		W, 		20000, 		7500
		TTC_AEK973, 																	W, 		20000, 		7500
		TTC_M4DMR, 																		W, 		200000, 	175000
		TTC_M4DMROD, 																	W, 		200000, 	175000
		TTC_M4DMRDesert, 																W, 		200000, 	175000
		TTC_DMR_556Stanag_30rnd, 														M, 		200,		100
		TTC_DMR_556Stanag_30rnd_camo, 													M, 		200,		100
		TTC_DMR_556Stanag_30rnd_Digitan, 												M,		200,		100
		TTC_DMR_556Stanag_30rnd_Tan, 													M,		200,		100
		TTC_DMR_556Stanag_30rnd_UPC, 													M,		200,		100
		TTC_DMR_556Stanag_100rnd, 														M,		1500,		1000
		TTC_DMR_556Stanag_100rnd_camo, 													M,		1500,		1000
		TTC_DMR_556Stanag_100rnd_Digitan, 												M,		1500,		1000
		TTC_DMR_556Stanag_100rnd_Tan, 													M,		1500,		1000
		TTC_DMR_556Stanag_100rnd_UPC, 													M,		1500,		1000
		TTC_DMR_556Pmag_30rnd, 															M,		200,		100
		TTC_DMR_556Pmag_30rnd_camo, 													M,		200,		100
		TTC_DMR_556Pmag_30rnd_Digitan, 													M,		200,		100
		TTC_DMR_556Pmag_30rnd_Tan, 														M,		200,		100
		TTC_DMR_556Pmag_30rnd_UPC, 														M,		200,		100
		TTC_DMR_556Pmag_40rnd, 															M,		400,		100
		TTC_DMR_556Pmag_40rnd_camo, 													M,		400,		100
		TTC_DMR_556Pmag_40rnd_Digitan, 													M,		400,		100
		TTC_DMR_556Pmag_40rnd_Tan, 														M,		400,		100
		TTC_DMR_556Pmag_40rnd_UPC, 														M,		400,		100
		TTC_DMR_556Pmag_100rnd, 														M,		1200,		1000
		TTC_DMR_556Pmag_100rnd_camo, 													M,		1200,		1000
		TTC_DMR_556Pmag_100rnd_Digitan, 												M,		1200,		1000
		TTC_DMR_556Pmag_100rnd_Tan, 													M,		1200,		1000
		TTC_DMR_556Pmag_100rnd_UPC,	 													M,		1200,		1000
		TTC_DMR_762Stanag_20rnd, 														M,		200,		100
		TTC_DMR_762Stanag_20rnd_camo, 													M,		200,		100
		TTC_DMR_762Stanag_20rnd_Digitan, 												M,		200,		100
		TTC_DMR_762Stanag_20rnd_Tan, 													M,		200,		100
		TTC_DMR_762Stanag_20rnd_UPC, 													M,		200,		100
		TTC_DMR_762Stanag_10rnd, 														M,		100,		100
		TTC_DMR_762Stanag_10rnd_camo, 													M,		100,		100
		TTC_DMR_762Stanag_10rnd_Digitan, 												M,		100,		100
		TTC_DMR_762Stanag_10rnd_Tan, 													M,		100,		100
		TTC_DMR_762Stanag_10rnd_UPC, 													M,		100,		100
		TTC_M1Carbine, 																	W, 		20000, 		7500
		TTC_FD338, 																		W, 		40000, 		7500
//		TTC_AACHoney, 																	W,		40000, 		25000
//		TTC_AACHoney_B, 																W, 		40000, 		25000
//		TTC_AACHoney_300blk, 															W, 		20000, 		7500
//		TTC_AACHoney_300blk_B, 															W, 		20000, 		500
		TTC_M24, 																		W, 		40000, 		7500
		TTC_M24_Bjorn, 																	W, 		40000, 		7500
		TTC_M24_Woodland, 																W, 		40000, 		7500
		TTC_M24_WoodlandOld, 															W, 		40000, 		7500
		TTC_SCARHBlack, 																W, 		20000,		7500
		TTC_SCARHMag, 																	M, 		200,		100
		TTC_SCARL, 																		W,		20000, 		7500
		TTC_SCARLSnow, 																	W, 		20000, 		7500
		TTC_SCARLBlack, 																W, 		20000, 		7500
		TTC_M16A4, 																		W,	 	20000, 		7500
		TTC_Beowulf, 																	W, 		40000, 		30000
		TTC_50Beo_mag, 																	M, 		200,		100
		TTC_M82, 																		W, 		80000, 		7500
		TTC_M82_Tan, 																	W, 		80000, 		7500
		MassPPSH41,																		*,		-1,     -1	
		MassPPSH41_Black,																*,		-1,     -1	
		MassPPSH41_Green,																*,		-1,     -1	
		MassPPSH41_Camo,																*,		-1,     -1
		MassAR15,																		*,		-1,     -1
		Mass9x39Palm,																	*,		-1,     -1
		MassAR500,																		*,		-1,     -1	
		MassAR500pair,																	*,		-1,     -1
		TWP_ACE23,																		W,		-1,     -1	
		TWP_ACE23_mag_30Rnd,															M,		-1,     -1
		TWP_Ash12,																		W,		-1,     -1	
		TWP_Ash12_mag_10Rnd,															M,		-1,     -1
		TWP_ACR,																		W,		-1,     -1	
		TWP_ACR_mag_30Rnd,																M,		-1,     -1
		TWP_ACWR,																		W,		-1,     -1	
		TWP_ACWR_mag_30Rnd,																M,		-1,     -1
		TWP_AEK971,																		W,		-1,     -1	
		TWP_AG43,																		W,		-1,     -1	
		TWP_AG43_mag_20Rnd,																M,		-1,     -1
		TWP_AK9,																		W,		-1,     -1	
		TWP_AK9_mag_30Rnd,																M,		-1,     -1
		TWP_AK12,																		W,		-1,     -1	
		TWP_AK12Green,																	W,		-1,     -1	
		TWP_AK12Tan,																	W,		-1,     -1	
		TWP_AK12_mag_30Rnd,																M,		-1,     -1
		TWP_AK12Green_mag_30Rnd,														M,		-1,     -1
		TWP_AK12Tan_mag_30Rnd,															M,		-1,     -1
		TWP_AK47Blue,																	W,		-1,     -1	
		TWP_AK47Blue_mag_35Rnd,															M,		-1,     -1
		TWP_AK47Boar,																	W,		-1,     -1	
		TWP_AK47Boar_mag_30Rnd,															M,		-1,     -1
		TWP_AK47Dragon,																	W,		-1,     -1	
		TWP_AK47Dragon_mag_30Rnd,														M,		-1,     -1
		TWP_AK47Spider,																	W,		-1,     -1	
		TWP_AK47Spider_mag_30Rnd,														M,		-1,     -1
		TWP_AK47Wolf,																	W,		-1,     -1	
		TWP_AK47Wolf_mag_30Rnd,															M,		-1,     -1
		TWP_AK47WhiteWolf,																W,		-1,     -1	
		TWP_AK47WhiteWolf_mag_30Rnd,													M,		-1,     -1
		TWP_AMD,																		W,		-1,     -1	
		TWP_AMD_mag_30Rnd,																M,		-1,     -1
		TWP_AMDSpaceship,																W,		-1,     -1	
		TWP_AMDSpaceship_mag_30Rnd,														M,		-1,     -1
		TWP_AN94,																		W,		-1,     -1	
		TWP_AN94_mag_30Rnd,																M,		-1,     -1
		TWP_AR15,																		W,		-1,     -1	
		TWP_AR15_mag_30Rnd,																M,		-1,     -1
		TWP_AR70,																		W,		-1,     -1	
		TWP_AR70_mag_30Rnd,																M,		-1,     -1
		TWP_ARX160,																		W,		-1,     -1	
		TWP_ARX160_mag_30Rnd,															M,		-1,     -1
		TWP_ASR,																		W,		-1,     -1	
		TWP_ASR_mag_40Rnd,																M,		-1,     -1
		TWP_ASVal,																		W,		-1,     -1	
		TWP_ASVal_mag_30Rnd,															M,		-1,     -1
		TWP_SteyrAug,																	W,		-1,     -1	
		TWP_SteyrAug_mag_45Rnd,															M,		-1,     -1
		TWP_CZ805,																		W,		-1,     -1	
		TWP_CZ805_mag_30Rnd,															M,		-1,     -1
		TWP_CZScorpion,																	W,		-1,     -1	
		TWP_CZScorpion_mag_30Rnd,														M,		-1,     -1
		TWP_Famas,																		W,		-1,     -1	
		TWP_Famas_mag_35Rnd,															M,		-1,     -1
		TWP_FamasSpecialOps,															W,		-1,     -1	
		TWP_FamasSpecialOps_mag_40Rn													M,		-1,     -1
		TWP_FamasTan,																	W,		-1,     -1	
		TWP_FamasTan_mag_35Rnd,															M,		-1,     -1
		TWP_FG42,																		W,		-1,     -1	
		TWP_FG42_mag_25Rnd,																M,		-1,     -1
		TWP_FG42Old,																	W,		-1,     -1	
		TWP_FG42Old_mag_25Rnd,															M,		-1,     -1
		TWP_FNF2000,																	W,		-1,     -1	
		TWP_FNF2000_mag_30Rnd,															M,		-1,     -1
		TWP_FNFNC,																		W,		-1,     -1	
		TWP_FNFNC_mag_30Rnd,															M,		-1,     -1
		TWP_FNM29,																		W,		-1,     -1	
		TWP_FNM29_mag_30Rnd,															M,		-1,     -1
		TWP_G56,																		W,		-1,     -1	
		TWP_G56_mag_32Rnd,																M,		-1,     -1
		TWP_G3A3,																		W,		-1,     -1	
		TWP_G3A3_mag_20Rnd,																M,		-1,     -1
		TWP_G36,																		W,		-1,     -1	
		TWP_G36_mag_30Rnd,																M,		-1,     -1
		TWP_G36c,																		W,		-1,     -1	
		TWP_G36c_mag_30Rnd,																M,		-1,     -1
		TWP_HK33,																		W,		-1,     -1	
		TWP_HK33_mag_30Rnd,																M,		-1,     -1
		TWP_HK416,																		W,		-1,     -1	
		TWP_HK416Blue,																	W,		-1,     -1	
		TWP_HK416Desert,																W,		-1,     -1	
		TWP_HK416Forest,																W,		-1,     -1	
		TWP_HK416Jungle,																W,		-1,     -1	
		TWP_HK416Urban,																	W,		-1,     -1	
		TWP_HK416Wood,																	W,		-1,     -1	
		TWP_HK416_mag_40Rnd,															M,		-1,     -1
		TWP_HK417,																		W,		-1,     -1	
		TWP_HK417_mag_30Rnd,															M,		-1,     -1
		TWP_HKCarabine,																	W,		-1,     -1	
		TWP_HKCarabine_mag_30Rnd,														M,		-1,     -1
		TWP_HoneyBadger,																W,		-1,     -1
		TWP_HoneyBadger_mag_40Rnd,														M,		-1,     -1
		TWP_HoneyBadgerGold,															W,		-1,     -1
		TWP_HoneyBadgerGold_mag_40Rn													M,		-1,     -1
		TWP_IA2,																		W,		-1,     -1	
		TWP_IA2_mag_30Rnd,																M,		-1,     -1
		TWP_K2C,																		W,		-1,     -1	
		TWP_K2C_mag_30Rnd,																M,		-1,     -1
		TWP_AK5C,																		W,		-1,     -1	
		TWP_AK5C_mag_30Rnd,																M,		-1,     -1
		TWP_AK5CGreen,																	W,		-1,     -1	
		TWP_AK5CGreen_mag_30Rnd,														M,		-1,     -1
		TWP_AK5CGrey,																	W,		-1,     -1	
		TWP_AK5CGrey_mag_30Rnd,															M,		-1,     -1
		TWP_LR300,																		W,		-1,     -1	
		TWP_LR300Camo,																	W,		-1,     -1	
		TWP_LR300_mag_30Rnd,															M,		-1,     -1
		TWP_M4V5,																		W,		-1,     -1	
		TWP_M4V5_mag_30Rnd,																M,		-1,     -1
		TWP_M16,																		W,		-1,     -1	
		TWP_M16A2,																		W,		-1,     -1	
		TWP_M16_mag_20Rnd,																M,		-1,     -1
		TWP_M16A3,																		W,		-1,     -1	
		TWP_M16A3_mag_20Rnd,															M,		-1,     -1
		TWP_M16A3_handle,																*,		-1,     -1
		TWP_M16A4,																		W,		-1,     -1	
		TWP_M16A4_mag_30Rnd,															M,		-1,     -1
		TWP_M16Wrapped,																	W,		-1,     -1	
		TWP_M60,																		W,		-1,     -1	
		TWP_M60_mag_200Rnd,																M,		-1,     -1
		TWP_M249,																		W,		-1,     -1	
		TWP_M249_mag_200Rnd,															M,		-1,     -1
		TWP_MK14,																		W,		-1,     -1	
		TWP_MK14_mag_30Rnd,																M,		-1,     -1
		TWP_MK18,																		W,		-1,     -1												
		TWP_MK18_mag_100Rnd,															M,		-1,     -1
		TWP_MSBS_GrotBGold,																W,		-1,     -1	
		TWP_MSBS_GrotBGold_mag_30Rnd													M,		-1,     -1
		TWP_MSBS_GrotC,																	W,		-1,     -1	
		TWP_MSBS_GrotC_mag_30Rnd,														M,		-1,     -1
		TWP_OTSGrosa,																	W,		-1,     -1	
		TWP_OTSGrosa_mag_30Rnd,															M,		-1,     -1
		TWP_ParaSA58,																	W,		-1,     -1	
		TWP_ParaSA58_mag_20Rnd,															M,		-1,     -1
		TWP_PindadSS2,																	W,		-1,     -1	
		TWP_PindadSS2_mag_30Rnd,														M,		-1,     -1
		TWP_PLR16,																		W,		-1,     -1	
		TWP_PLR16_mag_30Rnd,															M,		-1,     -1
		TWP_PPSH,																		W,		-1,     -1	
		TWP_PPSH_mag_50Rnd,																M,		-1,     -1
		TWP_QBZ03,																		W,		-1,     -1	
		TWP_QBZ03_mag_30Rnd,															M,		-1,     -1
		TWP_R201,																		W,		-1,     -1	
		TWP_R201_mag_30Rnd,																M,		-1,     -1
		TWP_R101,																		W,		-1,     -1	
		TWP_R101_mag_35Rnd,																M,		-1,     -1
		TWP_RemingtonR5,																W,		-1,     -1	
		TWP_RemingtonR5_mag_40Rnd,														M,		-1,     -1
		TWP_RK62,																		W,		-1,     -1	
		TWP_RK62_mag_30Rnd,																M,		-1,     -1
		TWP_RPK16,																		W,		-1,     -1	
		TWP_RPK16_mag_100Rnd,															M,		-1,     -1
		TWP_RPK16Green,																	W,		-1,     -1	
		TWP_RPK16Green_mag_100Rnd,														M,		-1,     -1
		TWP_RPK16Tan,																	W,		-1,     -1	
		TWP_RPK16Tan_mag_100Rnd,														M,		-1,     -1
		TWP_ScarL,																		W,		-1,     -1	
		TWP_ScarL_mag_30Rnd,															M,		-1,     -1
		TWP_ScarH,																		W,		-1,     -1	
		TWP_ScarH_mag_30Rnd,															M,		-1,     -1
		TWP_ScarDragon,																	W,		-1,     -1	
		TWP_ScarDragon_mag_50Rnd,														M,		-1,     -1
		TWP_ScarLK,																		W,		-1,     -1	
		TWP_ScarLKCamo,																	W,		-1,     -1	
		TWP_ScarLKGreen,																W,		-1,     -1	
		TWP_ScarLK_mag_30Rnd,															M,		-1,     -1
		TWP_ScarSunrise,																W,		-1,     -1	
		TWP_ScarSunrise_mag_35Rnd,														M,		-1,     -1
		TWP_SG550,																		W,		-1,     -1	
		TWP_SG550_mag_30Rnd,															M,		-1,     -1
		TWP_SG553,																		W,		-1,     -1	
		TWP_SG553_mag_30Rnd,															M,		-1,     -1
		TWP_SR47,																		W,		-1,     -1	
		TWP_SR47_mag_30Rnd,																M,		-1,     -1
		TWP_StenGun,																	W,		-1,     -1	
		TWP_StenGun_mag_32Rnd,															M,		-1,     -1
		TWP_STG58,																		W,		-1,     -1	
		TWP_STG58_mag_20Rnd,															M,		-1,     -1
		TWP_Stoner63,																	W,		-1,     -1	
		TWP_Stoner63_mag_30Rnd,															M,		-1,     -1
		TWP_Tar21,																		W,		-1,     -1	
		TWP_Tar21_mag_30Rnd,															M,		-1,     -1
		TWP_Thompson,																	W,		-1,     -1	
		TWP_Thompson_mag_50Rnd,															M,		-1,     -1
		TWP_ThompsonMK2,																W,		-1,     -1	
		TWP_ThompsonMK2_mag_50Rnd,														M,		-1,     -1
		TWP_Type64,																		W,		-1,     -1	
		TWP_Type64_mag_20Rnd,															M,		-1,     -1
		TWP_Type89,																		W,		-1,     -1	
		TWP_Type89_mag_30Rnd,															M,		-1,     -1
		TWP_XM8,																		W,		-1,     -1	
		TWP_XM8_mag_30Rnd,																M,		-1,     -1
		TWP_MiniGun,																	W,		-1,     -1	
		TWP_MiniGun_mag_300Rnd,															M,		-1,     -1
		TWP_G36x,																		W,		-1,     -1	
		TWP_G36x_mag_40Rnd,																M,		-1,     -1
		TWP_M4A1,																		W,		-1,     -1	
		TWP_M4A1_mag_35Rnd,																M,		-1,     -1
		TWP_L85A2,																		W,		-1,     -1	
		TWP_L85A2_mag_30Rnd,															M,		-1,     -1
		TWP_SG556,																		W,		-1,     -1	
		TWP_SG556_mag_30Rnd,															M,		-1,     -1	
		
	<Category> Grenades
		RGD5Grenade,																	w,		300,		100
		M67Grenade,																		w,		300,		100
		M18SmokeGrenade_Red,															w,		300,		100
		M18SmokeGrenade_Green,															w,		300,		100
		M18SmokeGrenade_Yellow,															w,		300,		100
		M18SmokeGrenade_Purple,															w,		300,		100
		M18SmokeGrenade_White,															w,		300,		100
		RDG2SmokeGrenade_Black,															w,		300,		100
		RDG2SmokeGrenade_White,															w,		300,		100
		FlashGrenade,																	w,		300,		100
		stielhandgranate_mung,              											w,      800,    	400
		ToxicM18SmokeGrenade_Green,														*,		4500,		2500
		ToxicM18SmokeGrenade_Red,														*,		4500,		2500
		ToxicM18SmokeGrenade_Green,														*,		4500,		2500
		ToxicM18SmokeGrenade_Purple,													*,		4500,		2500
		ToxicM18SmokeGrenade_Yellow,													*,		4500,		2500
		ToxicM18SmokeGrenade_White,														*,		4500,		2500
	
	<Category> TeddyWeaponPack:Lights
		TWP_MK23Light,																	*,		-1,     -1
		TWP_GlockLight,																	*,		-1,     -1
		TWP_PistolLight,																*,		-1,     -1
		TWP_Weaponlight,																*,		-1,     -1

	<Category> TeddyWeaponPack:Suppresors
		TWP_G3A3_Suppressor,															*,		2500,     1800
		TWP_LR300_Suppressor,															*,		2250,     1500
		TWP_Carabine_Suppressor,														*,		1200,     1000
		TWP_USPPsychodelic_Supressor,													*,		800,     600
		TWP_USPChromatic_Supressor,														*,		800,     600
		TWP_M200Old_Suppressor,															*,		1200,     1100
		TWP_BarrettM82_Suppressor,														*,		22000,     20000
		TWP_Ash12_Suppressor,															*,		1400,     1200
		TWP_AKSuppressor,																*,		1200,     1000
		TWP_M4Suppressor,																*,		1400,     1200
	
<Category> Ammunition
		Ammo_380,																		1,		1,			-1
		Ammo_9x19,																		1,		1,			-1
		Ammo_22,																		1,		1,			-1
		Ammo_45ACP,																		1,		1,			-1
		Ammo_12gaPellets,																1,		3,			1
		Ammo_12gaSlug,																	1,		4,			2
		Ammo_9x39,																		1,		4,			2
		Ammo_9x39AP,																	1,		5,			3
		Ammo_308Win,																	1,		5,			3
		Ammo_545x39,																	1,		5,			3
		Ammo_556x45,																	1,		5,			3
		Ammo_762x39,																	1,		5,			3
		Ammo_762x54,																	1,		10,			6		
		Ammo_556x45Tracer,																1,		10,			5
		Ammo_545x39Tracer,																1,		10,			5
		Ammo_308WinTracer,																1,		10,			5
		Ammo_762x39Tracer,																1,		10,			5
		Ammo_762x54Tracer,																1,		20,			12														
		AmmoBox_380_35rnd,																*,		28,			-1
		AmmoBox_9x19_25rnd,																*,		20,			-1
		AmmoBox_45ACP_25rnd,															*,		20,			-1
		AmmoBox_22_50Rnd,																*,		60,			20
		AmmoBox_00buck_10rnd,															*,		24,			10
		AmmoBox_12gaSlug_10Rnd,															*,		32,			20
		AmmoBox_9x39_20Rnd,																*,		32,			20
		AmmoBox_9x39AP_20Rnd,															*,		80,			60
		AmmoBox_308Win_20Rnd,															*,		80,			60
		AmmoBox_545x39_20Rnd,															*,		80,			60
		AmmoBox_556x45_20Rnd,															*,		80,			60
		AmmoBox_762x39_20Rnd,															*,		80,			60
		AmmoBox_762x54_20Rnd,															*,		200,		120		
		AmmoBox_308WinTracer_20Rnd,														*,		160,		80
		AmmoBox_545x39Tracer_20Rnd,														*,		160,		80
		AmmoBox_556x45Tracer_20Rnd,														*,		160,		80
		AmmoBox_762x39Tracer_20Rnd,														*,		160,		80
		AmmoBox_762x54Tracer_20Rnd,														*,		400,		200
		TTC_Ammo_8mm, 																	1, 		20, 		12
		TTC_AmmoBox_8mm_20Rnd, 															*, 		400, 		200
		TTC_Ammo_30carbine, 															1, 		20, 		12
		TTC_AmmoBox_30CAL_30Rnd,														 *, 	400, 		200
		TTC_AmmoBox_300blk_20rnd, 														*, 		400, 		200
		TTC_Ammo_300blk, 																*, 		400, 		200
		TTC_AmmoBox_338mm_10Rnd, 														*, 		400, 		200
		TTC_Ammo_338, 																	*, 		400, 		200
		TTC_AmmoBox_50Beo_20rnd, 														*, 		400, 		200
		TTC_Ammo_50Beo, 																*, 		400, 		200
		TTC_Ammobox_50BMG_10rnd, 														*, 		1000,		200
		TTC_Ammo_50BMG, 																*, 		1000, 		200
		AmmoBox_408Chey,																*,		1000,		500
		AmmoBox_12gaBB,																	*,		1000,		500
		AmmoBox_338,																	*,		1000,		500
